tool name,flake8_issue_one,flake8_issue_two,flake8_issue_three,bandit_issue_one,bandit_issue_two,bandit_issue_three,bandit_sev_undefined,bandit_sev_low,bandit_sev_med,bandit_sev_high,bandit_conf_undefined,bandit_conf_low,bandit_conf_med,bandit_conf_high,radon_complexity,pylint_rating,bandit_lines
scikit-optimize,E402 module level import not at top of file,E226 missing whitespace around arithmetic operator,"E241 multiple spaces after ','",[B101:assert_used],[B310:blacklist],[B404:blacklist],0.0,336.0,4.0,0.0,0.0,0.0,0.0,340.0,15.742857142857142,6.1,12916
ensorflow_template_application,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),E121 continuation line under-indented for hanging indent,[B101:assert_used],[B105:hardcoded_password_string],[B104:hardcoded_bind_all_interfaces],0.0,8.0,1.0,0.0,0.0,0.0,2.0,7.0,,-2.58,3236
robosa,"E302 expected 2 blank lines, found 1",E251 unexpected spaces around keyword / parameter equals,E203 whitespace before ':',[B101:assert_used],[B311:blacklist],,0.0,47.0,0.0,0.0,0.0,0.0,0.0,47.0,,5.02,2358
albumentations,E203 whitespace before ':',F403 'from .transforms import *' used; unable to detect undefined names,F401 '.transforms.*' imported but unused,[B101:assert_used],[B311:blacklist],,0.0,510.0,0.0,0.0,0.0,0.0,0.0,510.0,13.23076923076923,,11963
cartoonify,E111 indentation is not a multiple of four,E121 continuation line under-indented for hanging indent,E251 unexpected spaces around keyword / parameter equals,[B101:assert_used],[B310:blacklist],[B410:blacklist],0.0,18.0,7.0,0.0,0.0,0.0,1.0,24.0,16.636363636363637,-2.84,42682
ENAS-pytorch,E226 missing whitespace around arithmetic operator,"E302 expected 2 blank lines, found 1",E261 at least two spaces before inline comment,[B101:assert_used],,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,,6.19,1502
oogle-research,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),E251 unexpected spaces around keyword / parameter equals,,,,,,,,,,,,17.261105092091007,-2.88,
spark-deep-learnin,E265 block comment should start with '# ',E128 continuation line under-indented for visual indent,E502 the backslash is redundant between brackets,,,,,,,,,,,,,3.62,
coremltools,E111 indentation is not a multiple of four,E121 continuation line under-indented for hanging indent,"F405 'np' may be undefined, or defined from star imports: coremltools.converters.mil.testing_reqs",[B101:assert_used],[B311:blacklist],[B108:hardcoded_tmp_directory],0.0,1639.0,45.0,3.0,0.0,0.0,22.0,1665.0,17.96060606060606,,151381
scikit-plo,F841 local variable 'ax' is assigned to but never used,E226 missing whitespace around arithmetic operator,W191 indentation contains tabs,[B101:assert_used],,,0.0,69.0,0.0,0.0,0.0,0.0,0.0,69.0,13.181818181818182,5.33,4569
end-to-end-negotiator,E128 continuation line under-indented for visual indent,E265 block comment should start with '# ',E261 at least two spaces before inline comment,[B101:assert_used],[B106:hardcoded_password_funcarg],[B311:blacklist],0.0,47.0,0.0,0.0,0.0,0.0,8.0,39.0,,4.81,5880
PyTorch-NLP,E741 ambiguous variable name 'l',W504 line break after binary operator,E402 module level import not at top of file,[B101:assert_used],[B311:blacklist],[B403:blacklist],0.0,364.0,9.0,0.0,0.0,0.0,7.0,366.0,14.833333333333334,6.53,6299
PocketFlow,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),"E302 expected 2 blank lines, found 1",[B101:assert_used],[B404:blacklist],[B603:subprocess_without_shell_equals_true],0.0,83.0,3.0,1.0,0.0,0.0,0.0,87.0,16.28,-0.12,16500
hyperas,"E231 missing whitespace after ','","E302 expected 2 blank lines, found 1","E305 expected 2 blank lines after class or function definition, found 1",[B101:assert_used],[B311:blacklist],,0.0,37.0,0.0,0.0,0.0,0.0,0.0,37.0,,,1602
QUANTAXIS,"E231 missing whitespace after ','",E265 block comment should start with '# ',W291 trailing whitespace,[B110:try_except_pass],[B101:assert_used],[B307:blacklist],0.0,136.0,34.0,3.0,0.0,2.0,14.0,157.0,18.788235294117648,,61934
spotligh,E265 block comment should start with '# ',W504 line break after binary operator,E122 continuation line missing indentation or outdented,[B101:assert_used],[B303:blacklist],[B403:blacklist],0.0,52.0,3.0,0.0,0.0,0.0,0.0,55.0,,7.05,4138
YOLO_tensorflow,"E231 missing whitespace after ','",W191 indentation contains tabs,E226 missing whitespace around arithmetic operator,,,,,,,,,,,,,,
skorch,W504 line break after binary operator,"E302 expected 2 blank lines, found 1",E226 missing whitespace around arithmetic operator,[B101:assert_used],[B301:blacklist],[B403:blacklist],0.0,905.0,8.0,0.0,0.0,0.0,0.0,913.0,13.272727272727273,,15793
nlp-architec,W503 line break before binary operator,E203 whitespace before ':',E261 at least two spaces before inline comment,[B101:assert_used],[B403:blacklist],[B301:blacklist],0.0,190.0,22.0,2.0,0.0,0.0,2.0,212.0,15.333333333333334,8.18,35149
luon-cv,"E231 missing whitespace after ','","E302 expected 2 blank lines, found 1",E226 missing whitespace around arithmetic operator,[B101:assert_used],[B311:blacklist],[B605:start_process_with_a_shell],0.0,574.0,24.0,18.0,0.0,0.0,2.0,614.0,16.924418604651162,5.09,85783
orange3,E226 missing whitespace around arithmetic operator,W504 line break after binary operator,"E241 multiple spaces after ','",[B101:assert_used],[B301:blacklist],[B403:blacklist],0.0,537.0,54.0,0.0,0.0,7.0,9.0,575.0,15.538116591928251,7.7,143009
ransformer,W293 blank line contains whitespace,W291 trailing whitespace,E261 at least two spaces before inline comment,[B101:assert_used],[B605:start_process_with_a_shell],[B307:blacklist],0.0,4.0,1.0,2.0,0.0,0.0,0.0,7.0,,0.55,1417
Horizon,W503 line break before binary operator,E203 whitespace before ':',E402 module level import not at top of file,[B101:assert_used],[B311:blacklist],[B301:blacklist],0.0,655.0,17.0,0.0,0.0,2.0,1.0,669.0,15.61111111111111,6.32,39127
srgan,E116 unexpected indentation (comment),E266 too many leading '#' for block comment,"E302 expected 2 blank lines, found 1",,,,,,,,,,,,,1.64,
MUNIT,E127 continuation line over-indented for visual indent,"E302 expected 2 blank lines, found 1",E261 at least two spaces before inline comment,[B101:assert_used],[B506:yaml_load],[B605:start_process_with_a_shell],0.0,10.0,1.0,1.0,0.0,0.0,0.0,12.0,,5.4,1442
alpha-zero-general,"E231 missing whitespace after ','","E241 multiple spaces after ','",E226 missing whitespace around arithmetic operator,[B101:assert_used],[B104:hardcoded_bind_all_interfaces],[B403:blacklist],0.0,25.0,3.0,0.0,0.0,0.0,2.0,26.0,25.75,2.2,6575
magnitude,E225 missing whitespace around operator,E251 unexpected spaces around keyword / parameter equals,E226 missing whitespace around arithmetic operator,[B101:assert_used],[B608:hardcoded_sql_expressions],[B605:start_process_with_a_shell],0.0,2049.0,121.0,9.0,0.0,39.0,53.0,2087.0,17.70731707317073,4.48,70866
ensorrec,E402 module level import not at top of file,E226 missing whitespace around arithmetic operator,W503 line break before binary operator,[B311:blacklist],[B108:hardcoded_tmp_directory],[B403:blacklist],0.0,9.0,5.0,0.0,0.0,0.0,4.0,10.0,,6.42,3157
ext-analytics-with-python,E122 continuation line missing indentation or outdented,W291 trailing whitespace,W293 blank line contains whitespace,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.25,4994
scikit-feature,E226 missing whitespace around arithmetic operator,W292 no newline at end of file,"E305 expected 2 blank lines after class or function definition, found 1",[B101:assert_used],,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,16.2,0.76,3716
fastFM,E265 block comment should start with '# ',E122 continuation line missing indentation or outdented,"E231 missing whitespace after ','",[B101:assert_used],,,0.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,,,1608
apex,W191 indentation contains tabs,E226 missing whitespace around arithmetic operator,"E231 missing whitespace after ','",[B101:assert_used],[B307:blacklist],[B608:hardcoded_sql_expressions],0.0,343.0,46.0,0.0,0.0,9.0,0.0,380.0,22.271604938271604,,20757
pix2pix-tensorflow,E226 missing whitespace around arithmetic operator,E128 continuation line under-indented for visual indent,"F405 'conv2d' may be undefined, or defined from star imports: ops, utils",[B101:assert_used],,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.69,495
uis-rnn,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),W504 line break after binary operator,[B306:blacklist],[B101:assert_used],[B311:blacklist],0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,,-0.57,1745
OpenNE,E226 missing whitespace around arithmetic operator,E741 ambiguous variable name 'l',"F405 'tf' may be undefined, or defined from star imports: .layers, .metrics",[B101:assert_used],[B311:blacklist],[B403:blacklist],0.0,13.0,2.0,0.0,0.0,0.0,0.0,15.0,,5.62,2079
minigo,E402 module level import not at top of file,E226 missing whitespace around arithmetic operator,"E302 expected 2 blank lines, found 1",[B101:assert_used],[B404:blacklist],[B603:subprocess_without_shell_equals_true],0.0,149.0,8.0,0.0,0.0,1.0,2.0,154.0,14.444444444444445,5.43,11972
extacy,W503 line break before binary operator,E203 whitespace before ':',"E231 missing whitespace after ','",[B101:assert_used],[B311:blacklist],[B110:try_except_pass],0.0,786.0,3.0,0.0,0.0,0.0,1.0,788.0,16.98076923076923,6.08,18624
Super-SloMo,W293 blank line contains whitespace,E221 multiple spaces before operator,E303 too many blank lines (2),[B311:blacklist],[B605:start_process_with_a_shell],,0.0,6.0,0.0,3.0,0.0,0.0,0.0,9.0,,1.25,1249
UnsupervisedMT,W504 line break after binary operator,W605 invalid escape sequence '\d',E741 ambiguous variable name 'l',[B101:assert_used],[B602:subprocess_popen_with_shell_equals_true],[B404:blacklist],0.0,424.0,0.0,6.0,0.0,0.0,0.0,430.0,22.952380952380953,7.42,5224
neuralcoref,W503 line break before binary operator,E266 too many leading '#' for block comment,E203 whitespace before ':',[B101:assert_used],[B603:subprocess_without_shell_equals_true],[B404:blacklist],0.0,51.0,3.0,0.0,0.0,0.0,2.0,52.0,20.47826086956522,,4161
proSR,"E231 missing whitespace after ','",E266 too many leading '#' for block comment,E128 continuation line under-indented for visual indent,[B101:assert_used],[B311:blacklist],[B506:yaml_load],0.0,18.0,1.0,0.0,0.0,0.0,0.0,19.0,,4.44,2065
scalable_agen,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),E125 continuation line with same indent as next logical line,[B108:hardcoded_tmp_directory],[B110:try_except_pass],,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,,-2.01,1947
magepy,W191 indentation contains tabs,"E231 missing whitespace after ','",E226 missing whitespace around arithmetic operator,[B307:blacklist],[B310:blacklist],[B311:blacklist],0.0,7.0,15.0,1.0,0.0,0.0,0.0,23.0,17.617283950617285,1.11,21302
PointCNN,"E231 missing whitespace after ','",E111 indentation is not a multiple of four,E226 missing whitespace around arithmetic operator,[B311:blacklist],[B101:assert_used],[B301:blacklist],0.0,25.0,5.0,0.0,0.0,0.0,0.0,30.0,19.91304347826087,,5421
ensorboard_logger,E121 continuation line under-indented for hanging indent,E251 unexpected spaces around keyword / parameter equals,E402 module level import not at top of file,[B101:assert_used],[B310:blacklist],[B506:yaml_load],0.0,16.0,2.0,0.0,0.0,0.0,0.0,18.0,,5.94,1288
alos,E402 module level import not at top of file,E226 missing whitespace around arithmetic operator,E127 continuation line over-indented for visual indent,[B311:blacklist],[B307:blacklist],,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,,2.43,3238
rwa,W191 indentation contains tabs,E226 missing whitespace around arithmetic operator,"E231 missing whitespace after ','",[B101:assert_used],[B310:blacklist],,0.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,,0.1,2959
nn4nlp-code,E111 indentation is not a multiple of four,E226 missing whitespace around arithmetic operator,W191 indentation contains tabs,[B101:assert_used],[B608:hardcoded_sql_expressions],[B405:blacklist],0.0,31.0,17.0,1.0,0.0,0.0,14.0,35.0,16.93877551020408,5.01,10810
causality,"E231 missing whitespace after ','",E203 whitespace before ':',E128 continuation line under-indented for visual indent,[B101:assert_used],,,0.0,38.0,0.0,0.0,0.0,0.0,0.0,38.0,,,1458
pu,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),W504 line break after binary operator,[B101:assert_used],[B108:hardcoded_tmp_directory],[B310:blacklist],0.0,156.0,25.0,0.0,0.0,0.0,18.0,163.0,15.944444444444445,-2.49,62197
dlwin,"E302 expected 2 blank lines, found 1",E226 missing whitespace around arithmetic operator,E261 at least two spaces before inline comment,[B101:assert_used],,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,4.56,475
deep-q-learnin,"E302 expected 2 blank lines, found 1","E231 missing whitespace after ','",W292 no newline at end of file,[B311:blacklist],,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,,3.46,247
pyhanlp,"F405 'JClass' may be undefined, or defined from star imports: pyhanlp",F403 'from pyhanlp import *' used; unable to detect undefined names,"F405 'HanLP' may be undefined, or defined from star imports: pyhanlp",[B101:assert_used],[B605:start_process_with_a_shell],[B607:start_process_with_partial_path],0.0,19.0,2.0,2.0,0.0,0.0,0.0,23.0,,,4082
nematus,E226 missing whitespace around arithmetic operator,E128 continuation line under-indented for visual indent,"E302 expected 2 blank lines, found 1",[B101:assert_used],[B404:blacklist],[B603:subprocess_without_shell_equals_true],0.0,100.0,3.0,2.0,0.0,0.0,1.0,104.0,19.555555555555557,,8851
nilearn,E402 module level import not at top of file,W504 line break after binary operator,W503 line break before binary operator,[B101:assert_used],[B306:blacklist],[B110:try_except_pass],0.0,2004.0,38.0,0.0,0.0,0.0,5.0,2037.0,17.265432098765434,,59820
OpenNMT-tf,W503 line break before binary operator,"E731 do not assign a lambda expression, use a def",E402 module level import not at top of file,[B105:hardcoded_password_string],[B107:hardcoded_password_default],[B106:hardcoded_password_funcarg],0.0,11.0,1.0,0.0,0.0,0.0,9.0,3.0,14.476190476190476,7.85,18148
simhash,E251 unexpected spaces around keyword / parameter equals,E123 closing bracket does not match indentation of opening bracket's line,F821 undefined name 'xrange',[B101:assert_used],[B303:blacklist],,0.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,,,335
DeepLabCu,W503 line break before binary operator,E111 indentation is not a multiple of four,E402 module level import not at top of file,[B101:assert_used],[B404:blacklist],[B403:blacklist],0.0,131.0,15.0,7.0,0.0,0.0,0.0,153.0,19.759493670886076,5.75,33619
12306,W191 indentation contains tabs,W292 no newline at end of file,"F632 use ==/!= to compare constant literals (str, bytes, int, float, tuple)",[B311:blacklist],[B605:start_process_with_a_shell],[B105:hardcoded_password_string],0.0,30.0,3.0,2.0,0.0,0.0,5.0,30.0,17.3,1.93,3844
sklearn-porter,E241 multiple spaces after ':',E402 module level import not at top of file,W504 line break after binary operator,[B303:blacklist],[B404:blacklist],[B604:any_other_function_with_shell_equals_true],0.0,7.0,12.0,0.0,0.0,3.0,0.0,16.0,13.555555555555555,2.24,6415
ner-lstm,E265 block comment should start with '# ',E261 at least two spaces before inline comment,E128 continuation line under-indented for visual indent,[B301:blacklist],[B101:assert_used],[B403:blacklist],0.0,19.0,9.0,2.0,0.0,0.0,0.0,30.0,,6.55,799
compare_gan,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),E226 missing whitespace around arithmetic operator,[B101:assert_used],,,0.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,13.23076923076923,,8896
models,E265 block comment should start with '# ',"E241 multiple spaces after ','",E226 missing whitespace around arithmetic operator,[B101:assert_used],[B311:blacklist],[B403:blacklist],0.0,734.0,76.0,7.0,0.0,0.0,9.0,808.0,17.013698630136986,4.5,102726
metric-learn,E111 indentation is not a multiple of four,E114 indentation is not a multiple of four (comment),W504 line break after binary operator,[B101:assert_used],[B102:exec_used],[B110:try_except_pass],0.0,195.0,1.0,0.0,0.0,0.0,0.0,196.0,13.666666666666666,-3.06,8296
mmcv,W504 line break after binary operator,W503 line break before binary operator,E126 continuation line over-indented for hanging indent,[B101:assert_used],[B404:blacklist],[B403:blacklist],0.0,1822.0,11.0,3.0,0.0,0.0,0.0,1836.0,17.931818181818183,,27231
cltk,W503 line break before binary operator,"F405 'Voiced' may be undefined, or defined from star imports: cltk.phonology.orthophonology","F405 'Place' may be undefined, or defined from star imports: cltk.phonology.orthophonology",[B101:assert_used],[B602:subprocess_popen_with_shell_equals_true],[B403:blacklist],0.0,71.0,4.0,4.0,0.0,0.0,1.0,78.0,17.62,,80547
olismero,"E231 missing whitespace after ','",E122 continuation line missing indentation or outdented,E261 at least two spaces before inline comment,[B101:assert_used],[B608:hardcoded_sql_expressions],[B308:blacklist],0.0,372.0,241.0,12.0,0.0,50.0,46.0,529.0,19.850446428571427,,269636
DenseNe,E402 module level import not at top of file,E261 at least two spaces before inline comment,E225 missing whitespace around operator,[B101:assert_used],,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,,2.3,1231
Texygen,W504 line break after binary operator,"F405 'generate_samples' may be undefined, or defined from star imports: utils.utils","F405 'tf' may be undefined, or defined from star imports: utils.utils",[B311:blacklist],[B101:assert_used],,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,,5.37,6994
cs230-code-examples,E226 missing whitespace around arithmetic operator,W293 blank line contains whitespace,E128 continuation line under-indented for visual indent,[B101:assert_used],[B404:blacklist],[B602:subprocess_popen_with_shell_equals_true],0.0,38.0,0.0,4.0,0.0,0.0,0.0,42.0,,1.27,2498
yolov3,"F405 'torch' may be undefined, or defined from star imports: models.common",E402 module level import not at top of file,"F405 'nn' may be undefined, or defined from star imports: models.common",[B101:assert_used],[B311:blacklist],[B605:start_process_with_a_shell],0.0,71.0,9.0,13.0,0.0,0.0,0.0,93.0,25.055555555555557,3.29,3606
pytorch-a3c,,,,,,,,,,,,,,,,5.48,
plearn,E265 block comment should start with '# ',W504 line break after binary operator,E122 continuation line missing indentation or outdented,[B101:assert_used],[B403:blacklist],[B301:blacklist],0.0,45.0,3.0,0.0,0.0,0.0,0.0,48.0,,7.97,3635
multiagent-competition,E226 missing whitespace around arithmetic operator,"E302 expected 2 blank lines, found 1",E126 continuation line over-indented for hanging indent,[B101:assert_used],[B314:blacklist],[B405:blacklist],0.0,20.0,5.0,0.0,0.0,0.0,1.0,24.0,18.333333333333332,5.64,1823
PyTorch-Encodin,"E231 missing whitespace after ','",E266 too many leading '#' for block comment,"E302 expected 2 blank lines, found 1",[B101:assert_used],[B311:blacklist],[B605:start_process_with_a_shell],0.0,117.0,1.0,3.0,0.0,0.0,0.0,121.0,15.5,3.13,8052
rude-carnie,W293 blank line contains whitespace,"E302 expected 2 blank lines, found 1",E111 indentation is not a multiple of four,[B101:assert_used],[B108:hardcoded_tmp_directory],,0.0,8.0,1.0,0.0,0.0,0.0,1.0,8.0,,2.89,1621
